time,Hm0
2017-10-26 00:10:00,0.76172
2017-10-26 00:20:00,0.74219
2017-10-26 00:30:00,0.76172
2017-10-26 00:40:00,0.74219
2017-10-26 00:50:00,0.72266
2017-10-26 01:00:00,0.72266
2017-10-26 01:10:00,0.72266
2017-10-26 01:20:00,0.70312
2017-10-26 01:30:00,0.70312
2017-10-26 01:40:00,0.74219
2017-10-26 01:50:00,0.74219
2017-10-26 02:00:00,0.74219
2017-10-26 02:10:00,0.74219
2017-10-26 02:20:00,0.72266
2017-10-26 02:30:00,0.78125
2017-10-26 02:40:00,0.76172
2017-10-26 02:50:00,0.76172
2017-10-26 03:00:00,0.78125
2017-10-26 03:10:00,0.78125
2017-10-26 03:20:00,0.82031
2017-10-26 03:30:00,0.76172
2017-10-26 03:40:00,0.70312
2017-10-26 03:50:00,0.76172
2017-10-26 04:00:00,0.78125
2017-10-26 04:10:00,0.74219
2017-10-26 04:20:00,0.74219
2017-10-26 04:30:00,0.76172
2017-10-26 04:40:00,0.74219
2017-10-26 04:50:00,0.76172
2017-10-26 05:00:00,0.76172
2017-10-26 05:10:00,0.72266
2017-10-26 05:20:00,0.76172
2017-10-26 05:30:00,0.78125
2017-10-26 05:40:00,0.76172
2017-10-26 05:50:00,0.74219
2017-10-26 06:00:00,0.76172
2017-10-26 06:10:00,0.78125
2017-10-26 06:20:00,0.78125
2017-10-26 06:30:00,0.78125
2017-10-26 06:40:00,0.76172
2017-10-26 06:50:00,0.74219
2017-10-26 07:00:00,0.76172
2017-10-26 07:10:00,0.74219
2017-10-26 07:20:00,0.76172
2017-10-26 07:30:00,0.72266
2017-10-26 07:40:00,0.72266
2017-10-26 07:50:00,0.76172
2017-10-26 08:00:00,0.76172
2017-10-26 08:10:00,0.76172
2017-10-26 08:20:00,0.74219
2017-10-26 08:30:00,0.80078
2017-10-26 08:40:00,0.80078
2017-10-26 08:50:00,0.74219
2017-10-26 09:00:00,0.74219
2017-10-26 09:10:00,0.76172
2017-10-26 09:20:00,0.74219
2017-10-26 09:30:00,0.76172
2017-10-26 09:40:00,0.76172
2017-10-26 09:50:00,0.78125
2017-10-26 10:00:00,0.78125
2017-10-26 10:10:00,0.82031
2017-10-26 10:20:00,0.83984
2017-10-26 10:30:00,0.80078
2017-10-26 10:40:00,0.80078
2017-10-26 10:50:00,0.82031
2017-10-26 11:00:00,0.76172
2017-10-26 11:10:00,0.82031
2017-10-26 11:20:00,0.82031
2017-10-26 11:30:00,0.83984
2017-10-26 11:40:00,0.82031
2017-10-26 11:50:00,0.80078
2017-10-26 12:00:00,0.83984
2017-10-26 12:10:00,0.87891
2017-10-26 12:20:00,0.89844
2017-10-26 12:30:00,0.87891
2017-10-26 12:40:00,0.89844
2017-10-26 12:50:00,0.87891
2017-10-26 13:00:00,0.89844
2017-10-26 13:10:00,0.9375
2017-10-26 13:20:00,0.87891
2017-10-26 13:30:00,0.87891
2017-10-26 13:40:00,0.87891
2017-10-26 13:50:00,0.85938
2017-10-26 14:00:00,0.85938
2017-10-26 14:10:00,0.87891
2017-10-26 14:20:00,0.85938
2017-10-26 14:30:00,0.87891
2017-10-26 14:40:00,0.87891
2017-10-26 14:50:00,0.85938
2017-10-26 15:00:00,0.85938
2017-10-26 15:10:00,0.89844
2017-10-26 15:20:00,0.89844
2017-10-26 15:30:00,0.83984
2017-10-26 15:40:00,0.83984
2017-10-26 15:50:00,0.83984
2017-10-26 16:00:00,0.87891
2017-10-26 16:10:00,0.9375
2017-10-26 16:20:00,0.9375
2017-10-26 16:30:00,0.9375
2017-10-26 16:40:00,0.9375
2017-10-26 16:50:00,0.9375
2017-10-26 17:00:00,0.91797
2017-10-26 17:10:00,0.97656
2017-10-26 17:20:00,1.03516
2017-10-26 17:30:00,1.01562
2017-10-26 17:40:00,0.99609
2017-10-26 17:50:00,1.03516
2017-10-26 18:00:00,1.03516
2017-10-26 18:10:00,0.99609
2017-10-26 18:20:00,1.01562
2017-10-26 18:30:00,0.99609
2017-10-26 18:40:00,1.03516
2017-10-26 18:50:00,1.05469
2017-10-26 19:00:00,1.01562
2017-10-26 19:10:00,1.03516
2017-10-26 19:20:00,1.0742199
2017-10-26 19:30:00,1.0742199
2017-10-26 19:40:00,1.1132801
2017-10-26 19:50:00,1.1132801
2017-10-26 20:00:00,1.03516
2017-10-26 20:10:00,1.03516
2017-10-26 20:20:00,1.05469
2017-10-26 20:30:00,1.03516
2017-10-26 20:40:00,1.01562
2017-10-26 20:50:00,1.05469
2017-10-26 21:00:00,1.0742199
2017-10-26 21:10:00,1.1132801
2017-10-26 21:20:00,1.1132801
2017-10-26 21:30:00,1.09375
2017-10-26 21:40:00,1.1132801
2017-10-26 21:50:00,1.19141
2017-10-26 22:00:00,1.17188
2017-10-26 22:10:00,1.13281
2017-10-26 22:20:00,1.17188
2017-10-26 22:30:00,1.17188
2017-10-26 22:40:00,1.25
2017-10-26 22:50:00,1.34766
2017-10-26 23:00:00,1.25
2017-10-26 23:10:00,1.2695301
2017-10-26 23:20:00,1.28906
2017-10-26 23:30:00,1.28906
2017-10-26 23:40:00,1.30859
2017-10-26 23:50:00,1.36719
2017-10-27 00:00:00,1.3867199
2017-10-27 00:10:00,1.46484
2017-10-27 00:20:00,1.50391
2017-10-27 00:30:00,1.44531
2017-10-27 00:40:00,1.44531
2017-10-27 00:50:00,1.52344
2017-10-27 01:00:00,1.5429699
2017-10-27 01:10:00,1.50391
2017-10-27 01:20:00,1.46484
2017-10-27 01:30:00,1.52344
2017-10-27 01:40:00,1.5625
2017-10-27 01:50:00,1.5820301
2017-10-27 02:00:00,1.66016
2017-10-27 02:10:00,1.66016
2017-10-27 02:20:00,1.62109
2017-10-27 02:30:00,1.5625
2017-10-27 02:40:00,1.7382801
2017-10-27 02:50:00,1.77734
2017-10-27 03:00:00,1.81641
2017-10-27 03:10:00,1.7382801
2017-10-27 03:20:00,1.71875
2017-10-27 03:30:00,1.75781
2017-10-27 03:40:00,1.71875
2017-10-27 03:50:00,1.81641
2017-10-27 04:00:00,1.93359
2017-10-27 04:10:00,1.95312
2017-10-27 04:20:00,1.8554699
2017-10-27 04:30:00,1.81641
2017-10-27 04:40:00,1.93359
2017-10-27 04:50:00,1.97266
2017-10-27 05:00:00,2.0507801
2017-10-27 05:10:00,1.875
2017-10-27 05:20:00,1.99219
2017-10-27 05:30:00,2.0898399
2017-10-27 05:40:00,2.26562
2017-10-27 05:50:00,2.2851601
2017-10-27 06:00:00,2.10938
2017-10-27 06:10:00,2.1484399
2017-10-27 06:20:00,2.3828101
2017-10-27 06:30:00,2.4023399
2017-10-27 06:40:00,2.34375
2017-10-27 06:50:00,2.4804699
2017-10-27 07:00:00,2.6367199
2017-10-27 07:10:00,2.5585899
2017-10-27 07:20:00,2.5585899
2017-10-27 07:30:00,2.5195301
2017-10-27 07:40:00,2.57812
2017-10-27 07:50:00,2.4023399
2017-10-27 08:00:00,2.5585899
2017-10-27 08:10:00,2.57812
2017-10-27 08:20:00,2.34375
2017-10-27 08:30:00,2.4414101
2017-10-27 08:40:00,2.5195301
2017-10-27 08:50:00,2.6757801
2017-10-27 09:00:00,2.9101601
2017-10-27 09:10:00,2.6367199
2017-10-27 09:20:00,2.4414101
2017-10-27 09:30:00,2.3828101
2017-10-27 09:40:00,2.34375
2017-10-27 09:50:00,2.5585899
2017-10-27 10:00:00,2.5195301
2017-10-27 10:10:00,2.4023399
2017-10-27 10:20:00,2.5195301
2017-10-27 10:30:00,2.42188
2017-10-27 10:40:00,2.5390601
2017-10-27 10:50:00,2.5
2017-10-27 11:00:00,2.4609399
2017-10-27 11:10:00,2.4609399
2017-10-27 11:20:00,2.3632801
2017-10-27 11:30:00,2.3828101
2017-10-27 11:40:00,2.3242199
2017-10-27 11:50:00,2.2265601
2017-10-27 12:00:00,2.0703101
2017-10-27 12:10:00,2.2460899
2017-10-27 12:20:00,2.4804699
2017-10-27 12:30:00,2.4609399
2017-10-27 12:40:00,2.2851601
2017-10-27 12:50:00,2.0507801
2017-10-27 13:00:00,2.3046899
2017-10-27 13:10:00,2.26562
2017-10-27 13:20:00,2.3046899
2017-10-27 13:30:00,2.3828101
2017-10-27 13:40:00,2.3828101
2017-10-27 13:50:00,2.1875
2017-10-27 14:00:00,2.2070301
2017-10-27 14:10:00,2.2460899
2017-10-27 14:20:00,2.1679699
2017-10-27 14:30:00,2.1484399
2017-10-27 14:40:00,2.0703101
2017-10-27 14:50:00,2.10938
2017-10-27 15:00:00,2.26562
2017-10-27 15:10:00,2.10938
2017-10-27 15:20:00,2.0898399
2017-10-27 15:30:00,2.0703101
2017-10-27 15:40:00,2.10938
2017-10-27 15:50:00,2.2070301
2017-10-27 16:00:00,1.99219
2017-10-27 16:10:00,1.99219
2017-10-27 16:20:00,2.0507801
2017-10-27 16:30:00,2.03125
2017-10-27 16:40:00,2.0703101
2017-10-27 16:50:00,2.2070301
2017-10-27 17:00:00,2.10938
2017-10-27 17:10:00,2.0117199
2017-10-27 17:20:00,2.1289101
2017-10-27 17:30:00,2.0703101
2017-10-27 17:40:00,2.03125
2017-10-27 17:50:00,1.875
2017-10-27 18:00:00,1.83594
2017-10-27 18:10:00,2.0117199
2017-10-27 18:20:00,2.0117199
2017-10-27 18:30:00,1.95312
2017-10-27 18:40:00,1.8945301
2017-10-27 18:50:00,1.99219
2017-10-27 19:00:00,2.0117199
2017-10-27 19:10:00,2.0507801
2017-10-27 19:20:00,2.03125
2017-10-27 19:30:00,2.0898399
2017-10-27 19:40:00,2.0703101
2017-10-27 19:50:00,2.0117199
2017-10-27 20:00:00,1.875
2017-10-27 20:10:00,1.83594
2017-10-27 20:20:00,1.875
2017-10-27 20:30:00,1.95312
2017-10-27 20:40:00,2.0507801
2017-10-27 20:50:00,1.93359
2017-10-27 21:00:00,1.875
2017-10-27 21:10:00,1.875
2017-10-27 21:20:00,1.875
2017-10-27 21:30:00,1.79688
2017-10-27 21:40:00,1.7382801
2017-10-27 21:50:00,1.81641
2017-10-27 22:00:00,1.875
2017-10-27 22:10:00,1.875
2017-10-27 22:20:00,1.875
2017-10-27 22:30:00,1.8554699
2017-10-27 22:40:00,1.81641
2017-10-27 22:50:00,1.83594
2017-10-27 23:00:00,1.75781
2017-10-27 23:10:00,1.81641
2017-10-27 23:20:00,1.83594
2017-10-27 23:30:00,1.79688
2017-10-27 23:40:00,1.81641
2017-10-27 23:50:00,1.81641
2017-10-28 01:10:00,2.03125
2017-10-28 01:20:00,2.0898399
2017-10-28 01:30:00,2.0898399
2017-10-28 01:40:00,2.0117199
2017-10-28 01:50:00,2.0117199
2017-10-28 02:00:00,2.0117199
2017-10-28 02:10:00,2.10938
2017-10-28 02:20:00,2.1679699
2017-10-28 02:30:00,2.1484399
2017-10-28 02:40:00,2.2070301
2017-10-28 02:50:00,2.2265601
2017-10-28 03:00:00,2.1875
2017-10-28 03:10:00,2.1289101
2017-10-28 03:20:00,2.1679699
2017-10-28 03:30:00,2.26562
2017-10-28 03:40:00,2.1484399
2017-10-28 03:50:00,2.1289101
2017-10-28 04:00:00,2.1289101
2017-10-28 04:10:00,2.2460899
2017-10-28 04:20:00,2.34375
2017-10-28 04:30:00,2.5
2017-10-28 04:40:00,2.5390601
2017-10-28 04:50:00,2.3632801
2017-10-28 05:00:00,2.4023399
2017-10-28 05:10:00,2.57812
2017-10-28 05:20:00,2.4609399
2017-10-28 05:30:00,2.4023399
2017-10-28 05:40:00,2.3632801
2017-10-28 05:50:00,2.3632801
2017-10-28 06:00:00,2.1484399
2017-10-28 06:10:00,2.34375
2017-10-28 06:20:00,2.4414101
2017-10-28 06:30:00,2.6757801
2017-10-28 06:40:00,2.73438
2017-10-28 06:50:00,2.5585899
2017-10-28 07:00:00,2.5
2017-10-28 07:10:00,2.4804699
2017-10-28 07:20:00,2.7148399
2017-10-28 07:30:00,2.73438
2017-10-28 07:40:00,2.6171899
2017-10-28 07:50:00,2.6953101
2017-10-28 08:00:00,2.8125
2017-10-28 08:10:00,2.7734399
2017-10-28 08:20:00,2.6953101
2017-10-28 08:30:00,2.7539101
2017-10-28 08:40:00,2.7148399
2017-10-28 08:50:00,2.73438
2017-10-28 09:00:00,2.6171899
2017-10-28 09:10:00,2.8320301
2017-10-28 09:20:00,2.8125
2017-10-28 09:30:00,2.57812
2017-10-28 09:40:00,2.7929699
2017-10-28 09:50:00,2.89062
2017-10-28 10:00:00,3.2226601
2017-10-28 10:10:00,3.0859399
2017-10-28 10:20:00,2.8710899
2017-10-28 10:30:00,2.9296899
2017-10-28 10:40:00,2.89062
2017-10-28 10:50:00,2.9296899
2017-10-28 11:00:00,2.8125
2017-10-28 11:10:00,2.9101601
2017-10-28 11:20:00,2.96875
2017-10-28 11:30:00,2.9492199
2017-10-28 11:40:00,2.89062
2017-10-28 11:50:00,2.9492199
2017-10-28 12:00:00,3.125
2017-10-28 12:10:00,2.8320301
2017-10-28 12:20:00,3.0273399
2017-10-28 12:30:00,3.0273399
2017-10-28 12:40:00,2.9492199
2017-10-28 12:50:00,2.8125
2017-10-28 13:00:00,2.8515601
2017-10-28 13:10:00,2.89062
2017-10-28 13:20:00,3.125
2017-10-28 13:30:00,3.0859399
2017-10-28 13:40:00,3.0664101
2017-10-28 13:50:00,3.2421899
2017-10-28 14:00:00,3.20312
2017-10-28 14:10:00,3.0078101
2017-10-28 14:20:00,3.125
2017-10-28 14:30:00,3.4179699
2017-10-28 14:40:00,3.0273399
2017-10-28 14:50:00,3.1640601
2017-10-28 15:00:00,3.1640601
2017-10-28 15:10:00,3.04688
2017-10-28 15:20:00,3.1445301
2017-10-28 15:30:00,3.1445301
2017-10-28 15:40:00,3.3203101
2017-10-28 15:50:00,3.2421899
2017-10-28 16:00:00,3.3007801
2017-10-28 16:10:00,3.35938
2017-10-28 16:20:00,3.1835899
2017-10-28 16:30:00,3.0078101
2017-10-28 16:40:00,3.0859399
2017-10-28 16:50:00,3.1640601
2017-10-28 17:00:00,3.2617199
2017-10-28 17:10:00,3.20312
2017-10-28 17:20:00,3.2421899
2017-10-28 17:30:00,3.67188
2017-10-28 17:40:00,3.5742199
2017-10-28 17:50:00,3.3789101
2017-10-28 18:00:00,3.20312
2017-10-28 18:10:00,3.3007801
2017-10-28 18:20:00,3.7109399
2017-10-28 18:30:00,3.7695301
2017-10-28 18:40:00,3.7695301
2017-10-28 18:50:00,3.4765601
2017-10-28 19:00:00,3.4179699
2017-10-28 19:10:00,3.67188
2017-10-28 19:20:00,3.6523399
2017-10-28 19:30:00,3.4375
2017-10-28 19:40:00,3.4960899
2017-10-28 19:50:00,3.9453101
2017-10-28 20:00:00,3.6328101
2017-10-28 20:10:00,3.82812
2017-10-28 20:20:00,4.1601601
2017-10-28 20:30:00,4.1601601
2017-10-28 20:40:00,3.9648399
2017-10-28 20:50:00,3.7695301
2017-10-28 21:00:00,3.9453101
2017-10-28 21:10:00,3.98438
2017-10-28 21:20:00,4.0234399
2017-10-28 21:30:00,3.9648399
2017-10-28 21:40:00,4.0234399
2017-10-28 21:50:00,4.0234399
2017-10-28 22:00:00,3.9648399
2017-10-28 22:10:00,3.7304699
2017-10-28 22:20:00,3.8085899
2017-10-28 22:30:00,3.8867199
2017-10-28 22:40:00,4.5117202
2017-10-28 22:50:00,4.2773399
2017-10-28 23:00:00,3.9453101
2017-10-28 23:10:00,4.1796899
2017-10-28 23:20:00,4.2382798
2017-10-28 23:30:00,4.375
2017-10-28 23:40:00,4.5898399
2017-10-28 23:50:00,4.4531202
2017-10-29 00:00:00,4.4726601
2017-10-29 00:10:00,4.375
2017-10-29 00:20:00,4.4335899
2017-10-29 00:30:00,4.5117202
2017-10-29 00:40:00,4.4335899
2017-10-29 00:50:00,4.0429702
2017-10-29 01:00:00,4.3945298
2017-10-29 01:10:00,4.5898399
2017-10-29 01:20:00,4.7070298
2017-10-29 01:50:00,4.6875
2017-10-29 02:00:00,4.7656202
2017-10-29 02:10:00,4.4335899
2017-10-29 02:20:00,4.2773399
2017-10-29 02:30:00,4.4921899
2017-10-29 02:40:00,4.6875
2017-10-29 02:50:00,4.7656202
2017-10-29 03:00:00,4.7265601
2017-10-29 03:10:00,5.1367202
2017-10-29 03:20:00,5.2539101
2017-10-29 03:30:00,5.2343798
2017-10-29 03:40:00,5.6640601
2017-10-29 03:50:00,5.5078101
2017-10-29 04:00:00,5.3515601
2017-10-29 04:10:00,5.15625
2017-10-29 04:20:00,5.2734399
2017-10-29 04:30:00,5.8007798
2017-10-29 04:40:00,5.5468798
2017-10-29 04:50:00,5.7226601
2017-10-29 05:00:00,5.2539101
2017-10-29 05:10:00,5.6445298
2017-10-29 05:20:00,5.7421899
2017-10-29 05:30:00,5.9960899
2017-10-29 05:40:00,5.9179702
2017-10-29 05:50:00,5.3906202
2017-10-29 06:00:00,4.9609399
2017-10-29 06:10:00,4.84375
2017-10-29 06:20:00,4.6093798
2017-10-29 06:30:00,4.8828101
2017-10-29 06:40:00,5.1171899
2017-10-29 06:50:00,5.3710899
2017-10-29 07:00:00,4.9023399
2017-10-29 07:10:00,5.1367202
2017-10-29 07:20:00,5.0781202
2017-10-29 07:30:00,4.9218798
2017-10-29 07:40:00,5.4296899
2017-10-29 07:50:00,5.5078101
2017-10-29 08:00:00,5.0390601
2017-10-29 08:10:00,4.84375
2017-10-29 08:20:00,4.3554702
2017-10-29 08:30:00,4.4921899
2017-10-29 08:40:00,4.7265601
2017-10-29 08:50:00,4.9414101
2017-10-29 09:00:00,5.1953101
2017-10-29 09:10:00,5.1171899
2017-10-29 09:20:00,5.0195298
2017-10-29 09:30:00,5.15625
2017-10-29 09:40:00,4.8828101
2017-10-29 09:50:00,4.84375
2017-10-29 10:00:00,4.9218798
2017-10-29 10:10:00,4.8828101
2017-10-29 10:20:00,4.5117202
2017-10-29 10:30:00,4.5898399
2017-10-29 10:40:00,4.8046899
2017-10-29 10:50:00,4.4531202
2017-10-29 11:00:00,4.2382798
2017-10-29 11:10:00,4.21875
2017-10-29 11:20:00,4.4921899
2017-10-29 11:30:00,4.6679702
2017-10-29 11:40:00,4.5898399
2017-10-29 11:50:00,4.3554702
2017-10-29 12:00:00,4.3164101
2017-10-29 12:10:00,4.1210899
2017-10-29 12:20:00,4.2382798
2017-10-29 12:30:00,4.53125
2017-10-29 12:40:00,4.8046899
2017-10-29 12:50:00,4.4531202
2017-10-29 13:00:00,4.6093798
2017-10-29 13:10:00,4.3164101
2017-10-29 13:20:00,4.4140601
2017-10-29 13:30:00,4.3945298
2017-10-29 13:40:00,4.1015601
2017-10-29 13:50:00,4.0429702
2017-10-29 14:00:00,4.3359399
2017-10-29 14:10:00,4.6875
2017-10-29 14:20:00,4.4726601
2017-10-29 14:30:00,4.1406202
2017-10-29 14:40:00,4.1406202
2017-10-29 14:50:00,3.6523399
2017-10-29 15:10:00,4.1015601
2017-10-29 15:20:00,4.0234399
2017-10-29 15:30:00,3.6328101
2017-10-29 15:40:00,3.7304699
2017-10-29 16:00:00,3.5742199
2017-10-29 16:10:00,3.75
2017-10-29 16:20:00,3.7890601
2017-10-29 16:30:00,3.6328101
2017-10-29 16:40:00,3.4179699
2017-10-29 16:50:00,3.6132801
2017-10-29 17:00:00,3.5742199
2017-10-29 17:10:00,3.4960899
2017-10-29 17:20:00,3.51562
2017-10-29 17:30:00,3.4765601
2017-10-29 17:40:00,3.4570301
2017-10-29 17:50:00,3.5351601
2017-10-29 18:00:00,3.3203101
2017-10-29 18:10:00,3.35938
2017-10-29 18:20:00,3.4570301
2017-10-29 18:30:00,3.5351601
2017-10-29 18:40:00,3.51562
2017-10-29 18:50:00,3.4570301
2017-10-29 19:00:00,3.4570301
2017-10-29 19:10:00,3.3007801
2017-10-29 19:20:00,3.1835899
2017-10-29 19:30:00,3.3203101
2017-10-29 19:40:00,3.35938
2017-10-29 19:50:00,3.2226601
2017-10-29 20:00:00,3.125
2017-10-29 20:10:00,3.4179699
2017-10-29 20:20:00,3.59375
2017-10-29 20:30:00,3.3007801
2017-10-29 20:40:00,3.2421899
2017-10-29 20:50:00,3.35938
2017-10-29 21:00:00,3.1640601
2017-10-29 21:10:00,3.1054699
2017-10-29 21:20:00,2.9492199
2017-10-29 21:30:00,2.9882801
2017-10-29 21:40:00,2.9882801
2017-10-29 21:50:00,3.28125
2017-10-29 22:00:00,3.4179699
2017-10-29 22:10:00,3.3203101
2017-10-29 22:20:00,3.2226601
2017-10-29 22:30:00,3.125
2017-10-29 22:40:00,3.04688
2017-10-29 22:50:00,3.20312
2017-10-29 23:00:00,3.1445301
2017-10-29 23:10:00,3.04688
2017-10-29 23:20:00,3.1445301
2017-10-29 23:30:00,3.1445301
2017-10-29 23:40:00,2.8320301
2017-10-29 23:50:00,3.0664101
